DE: Experiment,location,DE: Kamera,pointOfView,sceneId,DE: SceneID,DE: Basisszenario,DE: Links_RVA,leftOfBicycleLane,DE: Tr_li-Breite,divideLeftWidth,DE: Tr_li-Art,divideLeftCategory,DE: Tr_li-baulTrennung,divideLeftStructural,DE: Links_RVA+Tr_li-baulTrennung,leftOfBicycleLaneWithStructuralDivide,DE: RVA-Breite,bicycleLaneWidth,DE: Tr_re-Breite,divideRightWidth,DE: Tr_re-Art,divideRightCategory,DE: GW-Breite,pavementWidth,DE: GW-Geschäftsnutzung,pavementHasShows,DE: Breite RVA_nutzbar,bicycleLaneWidthUsable,DE: FS-Art,vehicleLaneUsage,DE: FS-Geschwindigkeit,vehicleLaneMaxspeed,DE: RVA-Lage,bicycleLaneLanes,DE: RVA-Oberfläche,bicycleLaneSurface,DE: Tr_li-Markierung,divideLeftMarking,DE: Tr_re-Markierung,divideRightMarking,DE: Parken,parkingCategory,DE: Seitenraum,rightOfBicycleLane,DE: Protected,divideIsPhysical,TODO: Tobias,DE: Richtungsfreigabe,todoMotorVehicleDirection,DE: besondere Merkmale,bicycleStreetType,DE: FS-Breite,motorVehicleWidth,DE: Verkehrsaufkommen,motorVehicleTrafficVolumen,vote0Unsafe,vote1RatherUnsafe,vote2Save,vote3VerySave,voteSum,voteCount,voteMeans
MS,primary_road,C,bicycle,01_MS_C_1184,,6,,,schmal,narrow,,-,Keine,none,-,-,breit,wide,breit,wide,,-,,-,,-,2.5,2.5,Einbahn,motor_vehicle_only_one_way,30,30,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig Schraffur,asphalt_colored_hatching,durchgezogen,solid_line,Sperrfläche,prohibited_area,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,hoch,high_traffic_volumen_with_heavy_vehicles,"6,25%","23,21%","43,75%","26,79%","100,00%",76,"1,92"
MS,primary_road,C,bicycle,01_MS_C_1183,,6,,,schmal,narrow,,-,Keine,none,-,-,breit,wide,schmal,narrow,,-,,-,,-,3,3,Einbahn,motor_vehicle_only_one_way,30,30,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig Schraffur,asphalt_colored_hatching,durchgezogen,solid_line,durchgezogen,solid_line,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,hoch,high_traffic_volumen_with_heavy_vehicles,"2,52%","28,57%","52,94%","15,97%","100,00%",79,"1,78"
MS,primary_road,C,bicycle,01_MS_C_1182,,6,,,schmal,narrow,,-,Keine,none,-,-,breit,wide,breit,wide,,-,,-,,-,2.5,2.5,Einbahn,motor_vehicle_only_one_way,30,30,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig Schraffur,asphalt_colored_hatching,durchgezogen,solid_line,Doppellinie,double_line,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,hoch,high_traffic_volumen_with_heavy_vehicles,"6,19%","24,78%","46,90%","22,12%","99,99%",67,"1,85"
MS,primary_road,C,bicycle,01_MS_C_1172,,6,,,schmal,narrow,,-,Keine,none,-,-,breit,wide,breit,wide,,-,,-,,-,2.5,2.5,Tram,motor_vehicle_and_tram,30,30,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig Schraffur,asphalt_colored_hatching,durchgezogen,solid_line,Sperrfläche,prohibited_area,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,normal,low_traffic_volumen,"1,92%","22,12%","50,96%","25,00%","100,00%",54,"1,96"
MS,primary_road,C,bicycle,01_MS_C_1171,,6,,,schmal,narrow,,-,Keine,none,-,-,breit,wide,schmal,narrow,,-,,-,,-,3,3,Tram,motor_vehicle_and_tram,30,30,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig Schraffur,asphalt_colored_hatching,durchgezogen,solid_line,durchgezogen,solid_line,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,normal,low_traffic_volumen,"3,39%","21,19%","50,85%","24,58%","100,01%",71,"1,73"
MS,primary_road,C,bicycle,01_MS_C_1298,,6,,,breit,wide,,-,Keine,none,-,-,breit,wide,breit,wide,,-,,-,,-,2,2,Tram,motor_vehicle_and_tram,30,30,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig,asphalt_colored,Sperrfläche,prohibited_area,Sperrfläche,prohibited_area,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,normal,low_traffic_volumen,"0,90%","7,21%","50,45%","41,44%","100,00%",72,"2,38"
MS,primary_road,C,bicycle,01_MS_C_1297,,6,,,breit,wide,,-,Keine,none,-,-,breit,wide,schmal,narrow,,-,,-,,-,2.5,2.5,Tram,motor_vehicle_and_tram,30,30,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig,asphalt_colored,Sperrfläche,prohibited_area,durchgezogen,solid_line,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,normal,low_traffic_volumen,"2,00%","18,00%","49,00%","31,00%","100,00%",60,"2,13"
MS,primary_road,C,bicycle,01_MS_C_1296,,6,,,breit,wide,,-,Keine,none,-,-,breit,wide,breit,wide,,-,,-,,-,2,2,Tram,motor_vehicle_and_tram,30,30,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig,asphalt_colored,Sperrfläche,prohibited_area,Doppellinie,double_line,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,normal,low_traffic_volumen,"2,63%","20,18%","42,11%","35,09%","100,01%",75,"2,13"
MS,primary_road,C,bicycle,01_MS_C_1295,,6,,,schmal,narrow,,-,Keine,none,-,-,breit,wide,breit,wide,,-,,-,,-,2.5,2.5,Tram,motor_vehicle_and_tram,30,30,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig,asphalt_colored,unterbrochen,interrupted,Sperrfläche,prohibited_area,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,normal,low_traffic_volumen,"2,15%","17,20%","38,71%","41,94%","100,00%",60,"2,22"
MS,primary_road,C,bicycle,01_MS_C_1294,,6,,,schmal,narrow,,-,Keine,none,-,-,breit,wide,schmal,narrow,,-,,-,,-,3,3,Tram,motor_vehicle_and_tram,30,30,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig,asphalt_colored,unterbrochen,interrupted,durchgezogen,solid_line,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,normal,low_traffic_volumen,"2,80%","14,95%","44,86%","37,38%","99,99%",57,"2,25"
