HELPER: imageUrl,DE: Experiment,INAKTIVE: location,DE: Kamera,INAKTIVE: pointOfView,DE: SceneID,sceneId,HELPER: sceneNumber,sceneIdCar,DE: Basisszenario,DE: Parken,parkingCategory,DE: Richtungsfreigabe,carriagewayDirection,DE: besondere Merkmale,bicycleStreetType,DE: FS-Breite,carriagewayWidth,carriagewayWidthNumber,DE: Verkehrsaufkommen,motorVehicleTrafficVolumen,voteCarScore,voteCar0Unsafe,voteCar1RatherUnsafe,voteCar2Save,voteCar3VerySave,voteCarCount,voteCarMeans,voteScore,vote0Unsafe,vote1RatherUnsafe,vote2Save,vote3VerySave,voteCount,voteMeans
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_50.jpg,SE,secondary_road,C,bicycle,01_SE_C_50,SE_C_50,50,,3,Parken-beidseitig,parking_both_sides,beidseitig,both_directions,Fahrradstraße-Hollandaise,green_surface,breit,wide,todo_W,autofrei,no_cars,,,,,,,,"92,42","2,87","4,71","22,13","70,29",397,"2,59"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_51.jpg,SE,secondary_road,C,bicycle,01_SE_C_51,SE_C_51,51,SE_A_51,3,Parken-beidseitig,parking_both_sides,Einbahnstraße,one_way,-,none,breit,wide,todo_W,normal,low_traffic_volumen,"34,71","26,11","39,17","24,20","10,51","264,00","1,25","25,57","34,08","40,36","19,96","5,61",396,"0,97"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_52.jpg,SE,secondary_road,C,bicycle,01_SE_C_52,SE_C_52,52,SE_A_52,3,Parken-beidseitig,parking_both_sides,Einbahnstraße,one_way,Fahrradstraße,bicycle_road,breit,wide,todo_W,normal,low_traffic_volumen,"37,60","18,38","44,01","28,69","8,91","303,00","1,33","42,98","16,2","40,82","34,77","8,21",385,"1,34"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_53.jpg,SE,secondary_road,C,bicycle,01_SE_C_53,SE_C_53,53,SE_A_53,3,Parken-beidseitig,parking_both_sides,Einbahnstraße,one_way,Spielstraße,living_street,breit,wide,todo_W,normal,low_traffic_volumen,"41,83","18,87","39,31","30,82","11,01","256,00","1,32","43,82","16,14","40,04","35,22","8,6",407,"1,38"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_54.jpg,SE,secondary_road,C,bicycle,01_SE_C_54,SE_C_54,54,SE_A_54,3,Parken-beidseitig,parking_both_sides,Einbahnstraße,one_way,Fahrradstraße-Sondermarkierung,markings_bike_icon_dooring_zone,breit,wide,todo_W,normal,low_traffic_volumen,"34,05","23,30","42,65","22,22","11,83","232,00","1,28","25,56","30,89","43,56","18,89","6,67",392,"1,00"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_56.jpg,SE,secondary_road,C,bicycle,01_SE_C_56,SE_C_56,56,SE_A_56,3,Parken-beidseitig,parking_both_sides,Einbahnstraße-Gegenverkehr,one_way_for_cars_only,-,none,breit,wide,todo_W,normal,low_traffic_volumen,"31,58","21,36","47,06","21,05","10,53","270,00","1,28","24,64","36,36","38,99","20,4","4,24",427,"0,94"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_57.jpg,SE,secondary_road,C,bicycle,01_SE_C_57,SE_C_57,57,SE_A_57,3,Parken-beidseitig,parking_both_sides,Einbahnstraße-Gegenverkehr,one_way_for_cars_only,Fahrradstraße,bicycle_road,breit,wide,todo_W,normal,low_traffic_volumen,"37,19","15,63","47,19","25,31","11,88","270,00","1,36","39,5","16,21","44,29","29,68","9,82",374,"1,33"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_58.jpg,SE,secondary_road,C,bicycle,01_SE_C_58,SE_C_58,58,SE_A_58,3,Parken-beidseitig,parking_both_sides,Einbahnstraße-Gegenverkehr,one_way_for_cars_only,Spielstraße,living_street,breit,wide,todo_W,normal,low_traffic_volumen,"40,51","17,04","42,44","25,40","15,11","266,00","1,38","46,64","15,62","37,74","36,88","9,76",410,"1,43"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_59.jpg,SE,secondary_road,C,bicycle,01_SE_C_59,SE_C_59,59,SE_A_59,3,Parken-beidseitig,parking_both_sides,Einbahnstraße-Gegenverkehr,one_way_for_cars_only,Fahrradstraße-Sondermarkierung,markings_bike_icon_dooring_zone,breit,wide,todo_W,normal,low_traffic_volumen,"28,34","26,38","45,28","20,20","8,14","257,00","1,12","23,5","34,51",42,"20,17","3,33",403,"0,91"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_SE_C_6.jpg,SE,secondary_road,C,bicycle,01_SE_C_6,SE_C_6,6,,1,nein,no_parking,beidseitig,both_directions,-,none,breit,wide,todo_W,autofrei,no_cars,,,,,,,,"69,8","9,17","21,04","36,67","33,13",426,"1,94"
